"STATISTIC","Statistic Label","C02169V02615","Trips","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20162","2016Q2","Thousand","2598.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20163","2016Q3","Thousand","3061.5"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20164","2016Q4","Thousand","2139.2"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20171","2017Q1","Thousand","1796.1"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20172","2017Q2","Thousand","2769.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20173","2017Q3","Thousand","3095.6"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20174","2017Q4","Thousand","2270.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20181","2018Q1","Thousand","1920.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20182","2018Q2","Thousand","2951.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20183","2018Q3","Thousand","3330.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20184","2018Q4","Thousand","2412.8"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20191","2019Q1","Thousand","2026.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20192","2019Q2","Thousand","3021.8"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20193","2019Q3","Thousand","3334.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20194","2019Q4","Thousand","2424.6"
