"ROUTE","Route of Travel","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","2000","2000","TMA04C3","Visits Abroad by Irish Residents","Thousand","3783"
"0","All Routes","2000","2000","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"0","All Routes","2001","2001","TMA04C1","Visitors to Ireland","Thousand","5990"
"0","All Routes","2001","2001","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.9"
"0","All Routes","2001","2001","TMA04C3","Visits Abroad by Irish Residents","Thousand","4216"
"0","All Routes","2001","2001","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.8"
"0","All Routes","2002","2002","TMA04C1","Visitors to Ireland","Thousand","6065"
"0","All Routes","2002","2002","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"0","All Routes","2002","2002","TMA04C3","Visits Abroad by Irish Residents","Thousand","4634"
"0","All Routes","2002","2002","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"0","All Routes","2003","2003","TMA04C1","Visitors to Ireland","Thousand","6369"
"0","All Routes","2003","2003","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.8"
"0","All Routes","2003","2003","TMA04C3","Visits Abroad by Irish Residents","Thousand","4929"
"0","All Routes","2003","2003","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"0","All Routes","2004","2004","TMA04C1","Visitors to Ireland","Thousand","6574"
"0","All Routes","2004","2004","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.5"
"0","All Routes","2004","2004","TMA04C3","Visits Abroad by Irish Residents","Thousand","5409"
"0","All Routes","2004","2004","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"0","All Routes","2005","2005","TMA04C1","Visitors to Ireland","Thousand","6977"
"0","All Routes","2005","2005","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.6"
"0","All Routes","2005","2005","TMA04C3","Visits Abroad by Irish Residents","Thousand","6113"
"0","All Routes","2005","2005","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"0","All Routes","2006","2006","TMA04C1","Visitors to Ireland","Thousand","7709"
"0","All Routes","2006","2006","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.6"
"0","All Routes","2006","2006","TMA04C3","Visits Abroad by Irish Residents","Thousand","6848"
"0","All Routes","2006","2006","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8"
"0","All Routes","2007","2007","TMA04C1","Visitors to Ireland","Thousand","8012"
"0","All Routes","2007","2007","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.3"
"0","All Routes","2007","2007","TMA04C3","Visits Abroad by Irish Residents","Thousand","7713"
