"ROUTE","Route of Travel","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","19981","1998Q1","TMQ01C1","Visitors to Ireland","Thousand","867"
"0","All Routes","19981","1998Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","616"
"0","All Routes","19982","1998Q2","TMQ01C1","Visitors to Ireland","Thousand","1568"
"0","All Routes","19982","1998Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","894"
"0","All Routes","19983","1998Q3","TMQ01C1","Visitors to Ireland","Thousand","2120"
"0","All Routes","19983","1998Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1096"
"0","All Routes","19984","1998Q4","TMQ01C1","Visitors to Ireland","Thousand","1161"
"0","All Routes","19984","1998Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","724"
"0","All Routes","19991","1999Q1","TMQ01C1","Visitors to Ireland","Thousand","999"
"0","All Routes","19991","1999Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","714"
"0","All Routes","19992","1999Q2","TMQ01C1","Visitors to Ireland","Thousand","1679"
"0","All Routes","19992","1999Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","971"
"0","All Routes","19993","1999Q3","TMQ01C1","Visitors to Ireland","Thousand","2168"
"0","All Routes","19993","1999Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1140"
"0","All Routes","19994","1999Q4","TMQ01C1","Visitors to Ireland","Thousand","1221"
"0","All Routes","19994","1999Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","751"
"0","All Routes","20001","2000Q1","TMQ01C1","Visitors to Ireland","Thousand","1050"
"0","All Routes","20001","2000Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","708"
"0","All Routes","20002","2000Q2","TMQ01C1","Visitors to Ireland","Thousand","1732"
"0","All Routes","20002","2000Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1036"
"0","All Routes","20003","2000Q3","TMQ01C1","Visitors to Ireland","Thousand","2245"
"0","All Routes","20003","2000Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1245"
"0","All Routes","20004","2000Q4","TMQ01C1","Visitors to Ireland","Thousand","1283"
"0","All Routes","20004","2000Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","795"
"0","All Routes","20011","2001Q1","TMQ01C1","Visitors to Ireland","Thousand","1020"
"0","All Routes","20011","2001Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","757"
"0","All Routes","20012","2001Q2","TMQ01C1","Visitors to Ireland","Thousand","1624"
"0","All Routes","20012","2001Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1137"
"0","All Routes","20013","2001Q3","TMQ01C1","Visitors to Ireland","Thousand","2092"
"0","All Routes","20013","2001Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1434"
"0","All Routes","20014","2001Q4","TMQ01C1","Visitors to Ireland","Thousand","1255"
"0","All Routes","20014","2001Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","887"
"0","All Routes","20021","2002Q1","TMQ01C1","Visitors to Ireland","Thousand","1121"
"0","All Routes","20021","2002Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","891"
"0","All Routes","20022","2002Q2","TMQ01C1","Visitors to Ireland","Thousand","1613"
"0","All Routes","20022","2002Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1208"
"0","All Routes","20023","2002Q3","TMQ01C1","Visitors to Ireland","Thousand","2045"
"0","All Routes","20023","2002Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1554"
"0","All Routes","20024","2002Q4","TMQ01C1","Visitors to Ireland","Thousand","1286"
"0","All Routes","20024","2002Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","981"
"0","All Routes","20031","2003Q1","TMQ01C1","Visitors to Ireland","Thousand","1118"
"0","All Routes","20031","2003Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","939"
"0","All Routes","20032","2003Q2","TMQ01C1","Visitors to Ireland","Thousand","1704"
"0","All Routes","20032","2003Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1323"
"0","All Routes","20033","2003Q3","TMQ01C1","Visitors to Ireland","Thousand","2187"
"0","All Routes","20033","2003Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1593"
"0","All Routes","20034","2003Q4","TMQ01C1","Visitors to Ireland","Thousand","1360"
"0","All Routes","20034","2003Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1074"
"0","All Routes","20041","2004Q1","TMQ01C1","Visitors to Ireland","Thousand","1212"
"0","All Routes","20041","2004Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1039"
"0","All Routes","20042","2004Q2","TMQ01C1","Visitors to Ireland","Thousand","1762"
"0","All Routes","20042","2004Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1431"
"0","All Routes","20043","2004Q3","TMQ01C1","Visitors to Ireland","Thousand","2173"
"0","All Routes","20043","2004Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1749"
"0","All Routes","20044","2004Q4","TMQ01C1","Visitors to Ireland","Thousand","1428"
"0","All Routes","20044","2004Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1190"
"0","All Routes","20051","2005Q1","TMQ01C1","Visitors to Ireland","Thousand","1290"
"0","All Routes","20051","2005Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1208"
"0","All Routes","20052","2005Q2","TMQ01C1","Visitors to Ireland","Thousand","1803"
"0","All Routes","20052","2005Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1626"
"0","All Routes","20053","2005Q3","TMQ01C1","Visitors to Ireland","Thousand","2308"
"0","All Routes","20053","2005Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1963"
"0","All Routes","20054","2005Q4","TMQ01C1","Visitors to Ireland","Thousand","1574"
"0","All Routes","20054","2005Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1316"
"0","All Routes","20061","2006Q1","TMQ01C1","Visitors to Ireland","Thousand","1390"
"0","All Routes","20061","2006Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1346"
"0","All Routes","20062","2006Q2","TMQ01C1","Visitors to Ireland","Thousand","2112"
