Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2014","2014","t","1516","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2015","2015","t","2263.27","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2016","2016","t","2362.27","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2017","2017","t","2532.87","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2018","2018","t","2866.15","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2019","2019","t","1450","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2020","2020","t","1430","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22254","Cheese from milk of goats, fresh or processed","2021","2021","t","1493.07","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2004","2004","t","1122.33","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2005","2005","t","1102.57","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2006","2006","t","1137.72","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2007","2007","t","1146.08","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2008","2008","t","1043.29","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2009","2009","t","1057.16","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2010","2010","t","1366","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2011","2011","t","1556","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2012","2012","t","1543","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2013","2013","t","1969","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2014","2014","t","1423.4","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2015","2015","t","1341.47","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2016","2016","t","1364.16","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2017","2017","t","1518.02","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2018","2018","t","1607.14","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2019","2019","t","710","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2020","2020","t","760","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2021","2021","t","716.89","I","Imputed value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2004","2004","t","31900","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2005","2005","t","33200","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2006","2006","t","31997","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2007","2007","t","28306","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2008","2008","t","29000","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2009","2009","t","32099","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2010","2010","t","33330","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2011","2011","t","34550","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2012","2012","t","35311","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2013","2013","t","38276","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2014","2014","t","40000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2015","2015","t","42000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2016","2016","t","40000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2017","2017","t","42000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2018","2018","t","41000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2019","2019","t","40000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2020","2020","t","40000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.02","Cheese from skimmed cow milk","2021","2021","t","40000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2004","2004","t","144404","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2005","2005","t","148669","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2006","2006","t","150289","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2007","2007","t","153539","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2008","2008","t","152500","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2009","2009","t","151249","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2010","2010","t","156668","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2011","2011","t","161608","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2012","2012","t","167113","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2013","2013","t","165747","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2014","2014","t","177202","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2015","2015","t","187329","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2016","2016","t","197687","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2017","2017","t","203423","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2018","2018","t","204798","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2019","2019","t","203280","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2020","2020","t","204120","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22251.01","Cheese from whole cow milk","2021","2021","t","214760","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2018","2018","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2019","2019","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2020","2020","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02212","Raw milk of buffalo","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2004","2004","100 g/An","58019","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2004","2004","t","3137322","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2005","2005","100 g/An","57828","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2005","2005","t","3113658","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2006","2006","100 g/An","59033","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2006","2006","t","3146657","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2007","2007","100 g/An","59974","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2007","2007","t","3155068","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2008","2008","100 g/An","60594","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2008","2008","t","3195948","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2009","2009","100 g/An","60677","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2009","2009","t","3229809","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2010","2010","100 g/An","61000","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2010","2010","t","3257738","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2011","2011","100 g/An","62269","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2011","2011","t","3307130","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2012","2012","100 g/An","64177","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2012","2012","t","3382076","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2013","2013","100 g/An","64598","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2013","2013","t","3393057","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2014","2014","100 g/An","65423","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2014","2014","t","3493861","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2015","2015","100 g/An","65789","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2015","2015","t","3537757","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2016","2016","100 g/An","67590","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2016","2016","t","3627606","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2017","2017","100 g/An","68650","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2017","2017","t","3712727","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2018","2018","100 g/An","71710","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2018","2018","t","3821190","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2019","2019","100 g/An","72153","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2019","2019","t","3781340","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2020","2020","100 g/An","72706","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2020","2020","t","3815470","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2021","2021","100 g/An","72753","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2021","2021","t","3830140","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02211","Raw milk of cattle","2022","2022","100 g/An","71610","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02211","Raw milk of cattle","2022","2022","t","3942500","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2004","2004","100 g/An","5743","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2004","2004","t","12295","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2005","2005","100 g/An","5703","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2005","2005","t","13405","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2006","2006","100 g/An","5932","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2006","2006","t","13745","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2007","2007","100 g/An","6008","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2007","2007","t","16638","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2008","2008","100 g/An","6353","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2008","2008","t","17187","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2009","2009","100 g/An","6189","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2009","2009","t","17907","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2010","2010","100 g/An","6203","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2010","2010","t","18715","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2011","2011","100 g/An","6240","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2011","2011","t","19316","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2012","2012","100 g/An","6464","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2012","2012","t","20309","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2013","2013","100 g/An","6431","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2013","2013","t","20559","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2014","2014","100 g/An","6347","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2014","2014","t","19804","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2015","2015","100 g/An","6532","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2015","2015","t","20570","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2016","2016","100 g/An","6573","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2016","2016","t","21559","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2017","2017","100 g/An","6597","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2017","2017","t","23075","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2018","2018","100 g/An","4328","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2018","2018","t","26110","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2019","2019","100 g/An","4410","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2019","2019","t","26520","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2020","2020","100 g/An","4247","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2020","2020","t","25370","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2021","2021","100 g/An","4163","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2021","2021","t","26540","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02292","Raw milk of goats","2022","2022","100 g/An","4034","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02292","Raw milk of goats","2022","2022","t","26110","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2004","2004","100 g/An","4029","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2004","2004","t","8621","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2005","2005","100 g/An","3979","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2005","2005","t","8789","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2006","2006","100 g/An","4611","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2006","2006","t","8153","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2007","2007","100 g/An","4138","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2007","2007","t","8289","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2008","2008","100 g/An","3921","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2008","2008","t","7960","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2009","2009","100 g/An","4107","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2009","2009","t","9210","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2010","2010","100 g/An","4205","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2010","2010","t","9461","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2011","2011","100 g/An","4210","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2011","2011","t","10572","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2012","2012","100 g/An","4254","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2012","2012","t","10636","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2013","2013","100 g/An","4286","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2013","2013","t","10982","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2014","2014","100 g/An","4348","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2014","2014","t","11223","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2015","2015","100 g/An","4387","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2015","2015","t","10574","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2016","2016","100 g/An","4363","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2016","2016","t","10794","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2017","2017","100 g/An","4381","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2017","2017","t","11982","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2018","2018","100 g/An","4468","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2018","2018","t","12690","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2019","2019","100 g/An","4317","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2019","2019","t","12190","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2020","2020","100 g/An","4071","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2020","2020","t","11420","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5420","Yield","02291","Raw milk of sheep","2021","2021","100 g/An","3743","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2021","2021","t","10810","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","02291","Raw milk of sheep","2022","2022","t","11690","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22212","Skim milk and whey powder","2004","2004","t","6090","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22212","Skim milk and whey powder","2005","2005","t","7459","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","22212","Skim milk and whey powder","2006","2006","t","4729","A","Official figure",""
